date,peak_load_MW
2018-03-16,28610.315186246415
2018-03-17,25786.5329512894
2018-03-18,24789.88941548183
2018-03-19,29124.561403508767
2018-03-20,28815.942028985508
2018-03-21,27714.69740634006
2018-03-22,27986.956521739132
2018-03-23,27658.892128279884
2018-03-24,25148.04063860668
2018-03-25,24574.498567335242
2018-03-26,28367.50788643533
2018-03-27,28611.747851002863
2018-03-28,28742.07492795389
2018-03-29,28969.255663430424
2018-03-30,28917.80821917808
2018-03-31,27840.74605451937
2018-04-01,25086.830680173658
2018-04-02,29053.6809815951
2018-04-03,29254.26356589147
2018-04-04,26116.20294599018
2018-04-05,24984.24068767908
2018-04-06,24437.768240343346
2018-04-07,23952.654232424677
2018-04-08,23908.959537572253
2018-04-09,28222.063037249285
2018-04-10,28721.264367816093
2018-04-11,30169.58041958042
2018-04-12,30634.09961685824
2018-04-13,31047.36842105263
2018-04-14,27702.909647779477
2018-04-15,24637.747336377473
2018-04-16,28377.218934911245
2018-04-17,28384.505021520807
2018-04-18,28515.981735159814
2018-04-19,29424.060150375935
2018-04-20,29391.432791728213
2018-04-21,26952.173913043476
2018-04-22,26341.9773095624
2018-04-23,31469.135802469133
2018-04-24,31116.57559198543
2018-04-25,29564.21356421356
2018-04-26,29952.104499274312
2018-04-27,30375.545851528386
2018-04-28,26829.75679542203
2018-04-29,26091.970802919706
2018-04-30,30089.985486211903
2018-05-01,28657.05128205128
2018-05-02,32368.852459016394
2018-05-03,30671.942446043162
2018-05-04,30648.09384164223
2018-05-05,27469.026548672566
2018-05-06,27529.411764705885
2018-05-07,32780.39927404719
2018-05-08,31750.737463126843
2018-05-09,30088.825214899713
2018-05-10,30169.07514450867
2018-05-11,30732.35294117647
2018-05-12,27454.676258992804
2018-05-13,27077.363896848135
2018-05-14,32920.6611570248
2018-05-15,33513.6186770428
2018-05-16,34240.08810572687
2018-05-17,34662.08251473478
2018-05-18,35035.50295857988
2018-05-19,30585.365853658535
2018-05-20,29630.470016207455
2018-05-21,34290.26217228465
2018-05-22,34797.39776951673
2018-05-23,34870.370370370365
2018-05-24,34106.93641618497
2018-05-25,34998.21428571429
2018-05-26,30420.373027259684
2018-05-27,30277.870216306157
2018-05-28,35961.00278551532
2018-05-29,36307.95847750865
2018-05-30,36749.253731343284
2018-05-31,36679.48717948718
2018-06-01,33569.38483547926
2018-06-02,29037.037037037036
2018-06-03,28485.380116959062
2018-06-04,34488.50574712644
2018-06-05,35313.08411214953
2018-06-06,35775.77741407529
2018-06-07,35686.93009118541
2018-06-08,36122.71973466003
2018-06-09,31784.411276948587
2018-06-10,29808.752025931928
2018-06-11,32561.470215462614
2018-06-12,33512.307692307695
2018-06-13,34050.00000000001
2018-06-14,33756.54853620956
2018-06-15,31626.307922272048
2018-06-16,28638.680659670168
2018-06-17,27251.436781609194
2018-06-18,27951.079136690645
2018-06-19,32080.50314465409
2018-06-20,32229.555236728836
2018-06-21,33153.96341463415
2018-06-22,33748.54651162791
2018-06-23,30182.48175182482
2018-06-24,29160.120845921447
2018-06-25,35104.61538461538
2018-06-26,35278.49927849927
2018-06-27,35098.83720930232
2018-06-28,35456.883509833584
2018-06-29,34945.323741007196
2018-06-30,30472.429210134127
2018-07-01,28995.620437956204
2018-07-02,33164.116828929065
